TRRN,Timestamp,Amount,Year,Month,Employees,Link
2031908009783,14-AUG-2019 08:56:52,"1,44,27,523",19,JUL,433,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-21-9CB7473B818814C765753304BC926813
2031907012595,17-JUL-2019 20:50:17,"1,30,78,220",19,JUN,417,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-112-9CB7473B818814C765753304BC926813
2031907012600,17-JUL-2019 20:49:45,"2,27,845",19,JUN,5,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-6-9CB7473B818814C765753304BC926813
2031907001791,05-JUL-2019 01:03:10,"63,246",19,MAY,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-109-9CB7473B818814C765753304BC926813
2031906010345,15-JUN-2019 02:29:50,"1,53,551",19,MAY,4,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-62-9CB7473B818814C765753304BC926813
2031906010317,14-JUN-2019 20:18:17,"1,31,70,500",19,MAY,398,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-31-9CB7473B818814C765753304BC926813
2031905010746,18-MAY-2019 10:17:39,"72,023",19,APR,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-111-9CB7473B818814C765753304BC926813
2031905010724,18-MAY-2019 10:17:39,"1,27,84,771",19,APR,365,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-65-9CB7473B818814C765753304BC926813
2031907001787,05-JUL-2019 01:11:07,"63,246",19,APR,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-63-9CB7473B818814C765753304BC926813
2031907001782,05-JUL-2019 01:15:12,"57,242",19,MAR,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-124-9CB7473B818814C765753304BC926813
2031904007235,13-APR-2019 05:58:43,"1,30,26,174",19,MAR,391,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-74-9CB7473B818814C765753304BC926813
2031904007980,16-APR-2019 05:10:33,"72,023",19,MAR,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-30-9CB7473B818814C765753304BC926813
2031907001780,05-JUL-2019 01:19:34,"57,242",19,FEB,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-58-9CB7473B818814C765753304BC926813
2031903010335,14-MAR-2019 20:43:11,"1,29,71,997",19,FEB,398,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-48-9CB7473B818814C765753304BC926813
2031907001770,05-JUL-2019 01:22:18,"57,242",19,JAN,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-106-9CB7473B818814C765753304BC926813
2031902010249,15-FEB-2019 17:14:44,"1,28,63,984",19,JAN,393,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-79-9CB7473B818814C765753304BC926813
2031901008321,15-JAN-2019 12:59:53,"1,26,12,662",18,DEC,391,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-92-9CB7473B818814C765753304BC926813
2031907001766,05-JUL-2019 01:32:12,"57,242",18,DEC,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-32-9CB7473B818814C765753304BC926813
2031907001762,05-JUL-2019 01:34:23,"57,242",18,NOV,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-123-9CB7473B818814C765753304BC926813
2031812008462,15-DEC-2018 09:58:07,"1,26,12,706",18,NOV,393,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-108-9CB7473B818814C765753304BC926813
2031811007536,16-NOV-2018 10:18:27,"1,27,59,025",18,OCT,402,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-78-9CB7473B818814C765753304BC926813
2031907001758,05-JUL-2019 01:38:06,"57,242",18,OCT,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-41-9CB7473B818814C765753304BC926813
2031907001757,05-JUL-2019 01:41:27,"57,242",18,SEP,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-89-9CB7473B818814C765753304BC926813
2031810006194,12-OCT-2018 20:19:39,"1,25,38,378",18,SEP,390,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-40-9CB7473B818814C765753304BC926813
2031809007404,13-SEP-2018 15:43:30,"1,27,45,521",18,AUG,394,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-47-9CB7473B818814C765753304BC926813
2031907001751,05-JUL-2019 01:44:20,"22,204",18,AUG,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-17-9CB7473B818814C765753304BC926813
2031808007160,14-AUG-2018 14:28:39,"1,26,36,016",18,JUL,396,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-110-9CB7473B818814C765753304BC926813
2031807008557,13-JUL-2018 19:51:36,"1,18,24,920",18,JUN,372,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-127-9CB7473B818814C765753304BC926813
2031806010308,19-JUN-2018 05:10:20,"1,18,31,757",18,MAY,363,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-29-9CB7473B818814C765753304BC926813
